Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:22:12,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (09) and Primacy Agency in (CA) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
CA2010801,VALLEY STATE PRISON,Region 9,California,Community water system,"3,173",,Madera,8,28,8
CA3710302,ANZA BORREGO SP - PALM CANYON,Region 9,California,Transient non-community system,484,,San Diego,5,12,11
CA3710305,ANZA BORREGO SP - HORSE CAMP,Region 9,California,Transient non-community system,26,,San Diego,4,3,13
CA3710306,ANZA BORREGO SP - TAMARISK GROVE,Region 9,California,Transient non-community system,50,,San Diego,6,3,10
CA3710320,ANZA BORREGO SP - VALLECITO,Region 9,California,Transient non-community system,31,,San Diego,3,0,4
CA3710800,PUERTA LA CRUZ CC #14,Region 9,California,Community water system,27,,San Diego,5,9,10
CA2700983,CALTRANS CAMP ROBERTS RSRA SB,Region 9,California,Transient non-community system,"2,560",,Monterey,5,23,10
CA2700984,CALTRANS CAMP ROBERTS RSRA NB,Region 9,California,Transient non-community system,"1,750",,Monterey,5,24,8
CA3610850,CALIFORNIA INSTITUTION FOR MEN,Region 9,California,Community water system,"10,667",,San Bernardino,13,19,16
CA2000315,MADERA DISTRICT FAIR,Region 9,California,Transient non-community system,512,,Madera,14,4,12
CA4810801,DELTA CONSERVATION CAMP,Region 9,California,Community water system,65,,Solano,4,1,10
CA4710800,CAL FIRE-DEADWOOD CONSERVATION CAMP,Region 9,California,Non-Transient non-community system,65,,Siskiyou,4,8,6
CA4700557,CALTRANS-WEED REST STOP,Region 9,California,Transient non-community system,"1,000",,Siskiyou,8,2,9
CA3200009,CALTRANS-MASSACK REST STOP,Region 9,California,Transient non-community system,350,,Plumas,4,4,8
CA3200020,CALTRANS-L.T. DAVIS RESTSTOP,Region 9,California,Transient non-community system,200,,Plumas,3,16,8
CA2710705,CAMP ROBERTS - CALIFORNIA NATIONAL GUARD,Region 9,California,Non-Transient non-community system,385,,Monterey,23,9,16
CA2910013,WASHINGTON RIDGE C.C.,Region 9,California,Community water system,62,,Nevada,11,1,10
CA2810300,CSP - BALE GRIST MILL STATE HISTORIC PAR,Region 9,California,Transient non-community system,185,,Napa,2,2,3
CA2810301,CSP-BOTHE-NAPA VALLEY STATE PARK,Region 9,California,Transient non-community system,565,,Napa,6,2,4
CA1510800,CCI - TEHACHAPI,Region 9,California,Community water system,"2,993",,Kern,12,11,19
CA1110800,CAL FIRE - VALLEY VIEW C.C,Region 9,California,Non-Transient non-community system,140,,Glenn,7,6,13
CA3910803,CDCR CALIFORNIA HEALTH CARE FACILITY,Region 9,California,Community water system,"5,551",STOCKTON,San Joaquin,3,3,3
CA3610114,CLAWA,Region 9,California,Community water system,"2,320",,San Bernardino,10,1,10
CA3104519,CALTRANS-WHITMORE MAINT. STATION,Region 9,California,Transient non-community system,47,,Placer,4,1,8
CA2610300,CSP - BODIE SHP,Region 9,California,Transient non-community system,271,,Mono,5,1,4
CA2905001,SOUTH YUBA RIVER STATE PARK,Region 9,California,Transient non-community system,800,,Nevada,7,2,9
CA2910300,MALAKOFF DIGGINS SHP,Region 9,California,Transient non-community system,125,,Nevada,4,7,12
CA3210300,PLUMAS-EUREKA S.P.,Region 9,California,Transient non-community system,800,,Plumas,3,5,9
CA0910301,CA STATE PARKS - D.L. BLISS,Region 9,California,Transient non-community system,"1,005",,El Dorado,3,3,13
CA0910302,"CA STATE PARKS - EMERALD BAY, VIKINGSHOL",Region 9,California,Transient non-community system,"1,002",,El Dorado,3,3,15
CA0910303,"CA STATE PARKS - EMERALD BAY, EAGLE POIN",Region 9,California,Transient non-community system,"1,000",,El Dorado,3,3,13
CA0910305,"CA STATE PARKS - EMERALD BAY, BOAT CAMPG",Region 9,California,Transient non-community system,"1,001",,El Dorado,3,1,14
CA0210300,CA STATE PARKS - GROVER HOT SPRINGS,Region 9,California,Transient non-community system,"1,002",,Alpine,3,2,13
CA4010900,CALTRANS - SHANDON REST STOP,Region 9,California,Transient non-community system,"1,300",,San Luis Obispo,4,5,6
CA4210900,CAL TRANS - GAVIOTA RSR,Region 9,California,Transient non-community system,"2,000",,Santa Barbara,4,3,8
CA2010300,MILLERTON SRA MEADOW TANK HILL,Region 9,California,Transient non-community system,"2,506",,Madera,3,11,11
CA3400278,AMERICAN RIVER COLLEGE,Region 9,California,Non-Transient non-community system,"2,000",,Sacramento,4,31,18
CA3610800,CDF - OAK GLEN CONSERVATION CAMP,Region 9,California,Community water system,83,,San Bernardino,6,4,5
CA1210017,MANILA COMMUNITY SERVICES DIST.,Region 9,California,Community water system,750,,Humboldt,3,8,12
CA4910302,CSP-SUGARLOAF RIDGE STATE PARK,Region 9,California,Transient non-community system,204,,Sonoma,3,2,3
CA4910304,CSP-PETALUMA ADOBE STATE HISTORIC PARK,Region 9,California,Transient non-community system,134,,Sonoma,3,0,4
CA2110305,CSP - MT TAM EAST PEAK SYSTEM,Region 9,California,Transient non-community system,75,,Marin,5,0,2
CA2110300,CSP - SAMUEL TAYLOR ST PARK,Region 9,California,Transient non-community system,310,,Marin,12,5,7
CA2110301,CSP - MT TAM THEATRE WELL,Region 9,California,Transient non-community system,504,,Marin,6,12,4
CA2110302,CSP - ANGEL ISLAND ST PARK,Region 9,California,Transient non-community system,"1,622",,Marin,11,0,5
CA2110303,CSP - TOMALES BAY ST PARK,Region 9,California,Transient non-community system,503,,Marin,4,1,5
CA3710318,SAN PASQUAL BATTLEFIELD STATE PARK,Region 9,California,Transient non-community system,44,,San Diego,5,9,4
CA1800589,LNF-BOGARD WORK CENTER/CAL TRANS SRRA,Region 9,California,Transient non-community system,100,,Lassen,3,6,9
CA1400161,UCLA WHITE MOUNTAIN RESEARCH CENTER,Region 9,California,Transient non-community system,35,,Inyo,2,5,6
CA3910301,CARNEGIE SVRA,Region 9,California,Transient non-community system,145,,San Joaquin,3,3,14
