Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:20:33,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (04) and Primacy Agency in (GA) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
GA0350009,GEORGIA DIAGNOSTIC CENTER,Region 4,Georgia,Community water system,"2,800",,Butts,10,31,9
GA0770137,DNR-CHATTAHOOCHEE BEND STATE PK CAMPGRND,Region 4,Georgia,Transient non-community system,156,,Coweta,3,6,3
GA0770136,DNR-CHATTAHOOCHEE BEND STATE PK VIST CEN,Region 4,Georgia,Transient non-community system,25,,Coweta,3,8,4
GA1110129,FANNIN COUNTY - LAKE COVE,Region 4,Georgia,Community water system,62,MORGANTON,Fannin,2,3,4
GA1110126,"FANNIN COUNTY, GEFA - RIVERWALK",Region 4,Georgia,Community water system,187,BLUE RIDGE,Fannin,2,5,3
GA0850020,DNR-AMICALOLA FALLS STATE PARK,Region 4,Georgia,Non-Transient non-community system,297,,Dawson,5,5,5
GA3110008,DNR-UNICOI STATE PARK,Region 4,Georgia,Non-Transient non-community system,"1,588",,White,10,30,6
GA2770004,ABRAHAM BALDWIN AGRI. COLLEGE,Region 4,Georgia,Community water system,"4,405",TIFTON,Tift,7,32,7
GA0730009,DNR-MISTLETOE STATE PARK,Region 4,Georgia,Transient non-community system,98,APPLING,Columbia,10,14,7
GA0350049,DNR-INDIAN SPRINGS TENT CAMP,Region 4,Georgia,Transient non-community system,"1,000",FLOVILLA,Butts,3,8,6
GA0350050,DNR-INDIAN SPRINGS VISITOR CTR,Region 4,Georgia,Transient non-community system,"1,000",FLOVILLA,Butts,4,10,6
GA3110086,DNR-DUKES CREEK/SMITHGALL WOOD,Region 4,Georgia,Transient non-community system,25,HELEN,White,3,2,4
GA0350047,DNR-INDIAN SPRINGS COTTAGE AR.,Region 4,Georgia,Transient non-community system,"1,000",,Butts,3,8,6
GA1750124,DNR-GILLIS PUBLIC FISHING AREA,Region 4,Georgia,Transient non-community system,41,,Laurens,3,5,5
GA0910030,DNR-DODGE CO PUBLIC FISHING,Region 4,Georgia,Transient non-community system,50,EASTMAN,Dodge,4,12,4
GA0990004,DNR-KOLOMOKI SP-STAY USE,Region 4,Georgia,Transient non-community system,200,BLAKELY,Early,3,4,5
GA0990024,DNR-KOLOMOKI SP-MUSEUM,Region 4,Georgia,Transient non-community system,200,BLAKELY,Early,3,2,4
GA0990023,DNR-KOLOMOKI SP-DAY USE AREA,Region 4,Georgia,Transient non-community system,200,BLAKELY,Early,3,1,4
GA0990022,DNR-KOLOMOKI SP-GROUP CAMP,Region 4,Georgia,Transient non-community system,200,BLAKELY,Early,3,3,4
GA2590004,DNR-PROVIDENCE CANYON ST. PARK,Region 4,Georgia,Transient non-community system,434,LUMPKIN,Stewart,3,8,4
GA2410005,DNR-BLACK ROCK MTN. STATE PARK,Region 4,Georgia,Transient non-community system,250,MOUNTAIN CITY,Rabun,11,14,4
GA3030008,DNR-HAMBURG STATE PARK,Region 4,Georgia,Transient non-community system,87,,Washington,3,11,3
GA1450004,DNR-FD ROOSEVELT STATE PARK,Region 4,Georgia,Transient non-community system,55,PINE MOUNTAIN,Harris,3,9,5
GA1450032,DNR-FD ROOSEVELT COTTAGE&CAMP,Region 4,Georgia,Transient non-community system,129,PINE MOUNTAIN,Harris,3,9,6
GA1450042,DNR-FD ROOSEVELT GROUP CAMP SPRING,Region 4,Georgia,Transient non-community system,48,,Harris,3,12,7
GA0750004,DNR-REED BINGHAM STATE PARK,Region 4,Georgia,Transient non-community system,92,ADEL,Cook,11,15,4
GA1390135,DNR - DON CARTER STATE PARK,Region 4,Georgia,Transient non-community system,161,GAINESVILLE,Hall,5,0,4
GA1650005,DNR-MAGNOLIA SPRINGS STATE PK.,Region 4,Georgia,Transient non-community system,35,MILLEN,Jenkins,11,24,11
GA1650012,DNR-MAGNOLIA COTTAGE 6&9,Region 4,Georgia,Transient non-community system,35,MILLEN,Jenkins,3,0,3
GA1650011,DNR-MAGNOLIA COTTAGES AND CAMPGROUND,Region 4,Georgia,Transient non-community system,120,MILLEN,Jenkins,3,2,3
GA1070008,"DNR-GEORGE L SMITH, II ST. PK. MAIN PARK",Region 4,Georgia,Transient non-community system,126,TWIN CITY,Emanuel,5,11,8
GA1070038,DNR-GEORGE L SMITH II ST. PK. II,Region 4,Georgia,Transient non-community system,151,,Emanuel,3,4,7
GA1990009,ROOSEVELT WARM SPRINGS INST.,Region 4,Georgia,Community water system,493,WARM SPRINGS,Meriwether,4,9,8
GA2770129,UGA-DIAGNOSTIC CENTER,Region 4,Georgia,Non-Transient non-community system,40,TIFTON,Tift,3,17,5
GA0310006,GEORGIA SOUTHERN UNIVERSITY,Region 4,Georgia,Community water system,"20,357",STATESBORO,Bulloch,9,6,7
GA1910015,DNR-HOG HAMMOCK COMMUNITY,Region 4,Georgia,Community water system,304,SAPELO ISLAND,McIntosh,6,31,6
GA0510075,UGA-SKIDAWAY OCEANOGRAPHY INST,Region 4,Georgia,Non-Transient non-community system,108,SAVANNAH,Chatham,4,11,4
GA2370001,UGA-ROCK EAGLE 4H CENTER,Region 4,Georgia,Transient non-community system,137,EATONTON,Putnam,9,16,5
GA0850026,DNR-LEN FOOTE HIKE INN LODGE,Region 4,Georgia,Transient non-community system,45,,Dawson,2,4,4
GA1090045,EVANS COUNTY PUBLIC FISHING AREA NO. 1,Region 4,Georgia,Transient non-community system,25,DAISY,Evans,3,2,2
GA1090044,EVANS COUNTY PUBLIC FISHING AREA NO. 2,Region 4,Georgia,Transient non-community system,25,DAISY,Evans,3,0,2
GA1810030,DNR - ELIJAH CLARK STATE PARK  # 4,Region 4,Georgia,Transient non-community system,143,LINCOLNTON,Lincoln,3,13,6
GA1810029,DNR - ELIJAH CLARK ST. PARK # 2 & # 3,Region 4,Georgia,Transient non-community system,133,LINCOLNTON,Lincoln,3,9,5
GA1810001,DNR - ELIJAH CLARK STATE PARK # 1,Region 4,Georgia,Transient non-community system,25,LINCOLNTON,Lincoln,3,9,6
GA1870110,UNIVERSITY OF NORTH GEORGIA OBSERVATORY,Region 4,Georgia,Non-Transient non-community system,60,DAHLONEGA,Lumpkin,3,2,1
GA0610027,DNR-GEORGE T BAGBY GOLF COURSE,Region 4,Georgia,Transient non-community system,112,FORT GAINES,Clay,5,6,5
GA0610023,DNR-GEORGE T BAGBY STATE PARK,Region 4,Georgia,Transient non-community system,260,,Clay,5,28,5
GA2110004,DNR-HARD LABOR CREEK STATE PK.,Region 4,Georgia,Transient non-community system,150,RUTLEDGE,Morgan,5,16,5
GA2110052,DNR-CAMP RUTLEDGE,Region 4,Georgia,Transient non-community system,28,,Morgan,3,6,5
GA2130037,DNR-FT MTN ST PK-MAIN. AREA,Region 4,Georgia,Transient non-community system,25,CHATSWORTH,Murray,3,6,3
GA2130030,DNR-FORT MOUNTAIN STATE PARK 2,Region 4,Georgia,Transient non-community system,25,CHATSWORTH,Murray,3,8,3
GA2130002,DNR-FT. MOUNTAIN SP WELL #3,Region 4,Georgia,Transient non-community system,25,CHATSWORTH,Murray,5,16,5
