Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:19:43,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (01) and Primacy Agency in (ME) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
ME0094729,RAYMOND ELEMENTARY SCHOOL,Region 1,Maine,Non-Transient non-community system,280,RAYMOND,Cumberland,9,7,9
ME0009166,HARMONY ELEMENTARY SCHOOL,Region 1,Maine,Non-Transient non-community system,75,HARMONY,Somerset,5,4,19
ME0092498,ACADIA GATEWAY-BUS MAINTENANCE FACILITY,Region 1,Maine,Transient non-community system,120,TRENTON,Hancock,5,4,4
ME0094653,RSU 87 SUZANNE M SMITH ELEM SCHOOL,Region 1,Maine,Non-Transient non-community system,249,LEVANT,Penobscot,6,32,40
ME0093915,MDACF PEAKS-KENNY STATE PARK,Region 1,Maine,Transient non-community system,100,DOVER-FOXCROFT,Piscataquis,7,18,22
ME0193900,MDOC STATE PARK-AROOSTOOK,Region 1,Maine,Transient non-community system,100,PRESQUE ISLE,Aroostook,9,6,34
ME0093902,MDOC STATE PARK-CAMDEN HILLS,Region 1,Maine,Transient non-community system,"1,573",CAMDEN,Knox,8,11,26
ME0093949,MDOC STATE PARK-SWAN LAKE,Region 1,Maine,Transient non-community system,116,SWANVILLE,Waldo,4,18,6
ME0093927,MDOC STATE PARK-WARREN ISLAND,Region 1,Maine,Transient non-community system,32,ISLESBORO,Waldo,6,24,11
ME0094963,MDACF STATE PARK-PEAKS-KENNY-SITE 33,Region 1,Maine,Transient non-community system,140,DOVER-FOXCROFT,Piscataquis,4,3,14
ME0093909,MDOC STATE PARK-LAKE ST GEORGE,Region 1,Maine,Transient non-community system,184,LIBERTY,Waldo,8,15,16
ME0090342,MOUNTAIN VIEW CORRECTIONAL FACILITY,Region 1,Maine,Community water system,468,CHARLESTON,Penobscot,13,20,52
ME0094736,UMAINE 4H-GREENLAND POINT CENTER,Region 1,Maine,Transient non-community system,50,PRINCETON,Washington,7,26,4
ME0000647,MAINE CRIMINAL JUSTICE ACADEMY,Region 1,Maine,Transient non-community system,138,VASSALBORO,Kennebec,6,6,7
ME0092833,THE ECOLOGY LEARNING CENTER,Region 1,Maine,Non-Transient non-community system,127,UNITY,Waldo,4,0,1
ME0093910,MDOC STATE PARK-LAMOINE,Region 1,Maine,Transient non-community system,155,LAMOINE,Hancock,11,16,23
ME0094707,MSU 76 DEER ISLE/STONINGTON K-8 SCHOOL,Region 1,Maine,Non-Transient non-community system,240,DEER ISLE,Hancock,6,18,11
ME0093901,MDOC STATE PARK-BRADBURY MTN,Region 1,Maine,Transient non-community system,350,POWNAL,Cumberland,6,47,17
ME0093924,MDOC STATE PARK-SEBAGO LAKE-NAPLES,Region 1,Maine,Transient non-community system,625,NAPLES,Cumberland,5,16,22
ME0093913,MDOC STATE PARK-MT BLUE,Region 1,Maine,Transient non-community system,652,WELD,Franklin,7,10,14
ME0193919,MDOC STATE PARK-RANGELEY MANAGERS CABIN,Region 1,Maine,Transient non-community system,25,RANGELEY,Franklin,4,29,11
ME0093919,MDOC STATE PARK-RANGELEY CAMPGROUND,Region 1,Maine,Transient non-community system,125,RANGELEY,Franklin,6,30,27
ME0393925,MDOC STATE PARK-SEBAGO LAKE-CASCO,Region 1,Maine,Transient non-community system,"1,500",CASCO,Cumberland,5,21,17
ME0093911,MDACF STATE PARK-LILY BAY,Region 1,Maine,Transient non-community system,222,BEAVER COVE,Piscataquis,7,5,18
ME0094759,SWAN ISLAND WMA,Region 1,Maine,Transient non-community system,43,RICHMOND,Sagadahoc,5,24,13
ME0094712,ACAP CHILD & FAMILY CENTER,Region 1,Maine,Non-Transient non-community system,200,CARIBOU,Aroostook,5,4,11
ME0093905,MDOC STATE PARK-DAMARISCOTTA LAKE,Region 1,Maine,Transient non-community system,303,JEFFERSON,Lincoln,7,18,27
ME0094886,FRYEBURG VISITOR/INFO CENTER,Region 1,Maine,Transient non-community system,25,FRYEBURG,Oxford,5,2,5
ME0098560,DOWNEAST CORRECTIONAL FACILITY,Region 1,Maine,Community water system,63,MACHIASPORT,Washington,7,22,17
ME0094634,MDOC CHURCHILL DAM RANGER STATION,Region 1,Maine,Transient non-community system,25,T10 R12 WELS,Piscataquis,4,19,35
ME0098244,MDOC ALLAGASH WTRWY-CHAMBERLAIN,Region 1,Maine,Transient non-community system,25,T06 R12 WELS,Piscataquis,5,37,30
ME0107066,MDOC STATE PARK-REID TODD POINT,Region 1,Maine,Transient non-community system,310,GEORGETOWN,Sagadahoc,9,6,20
ME0007066,MDOC STATE PARK-REID GRIFFITHS HEAD,Region 1,Maine,Transient non-community system,200,GEORGETOWN,Sagadahoc,8,18,22
ME0193917,MDOC STATE PARK-POPHAM BEACH WEST,Region 1,Maine,Transient non-community system,800,PHIPPSBURG,Sagadahoc,6,11,10
ME0093920,MDOC STATE PARK-RANGE POND,Region 1,Maine,Transient non-community system,800,POLAND,Androscoggin,5,4,16
