Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:21:41,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (07) and Primacy Agency in (NE) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
NE3121437,MEDICINE CREEK SRA-NG&PC (NON SEASONAL),Region 7,Nebraska,Transient non-community system,50,CAMBRIDGE,Frontier,12,2,6
NE3121207,CHIMNEY ROCK VISITOR CENTER,Region 7,Nebraska,Transient non-community system,70,,Morrill,3,0,17
NE3150244,TWO RIVERS SRA - NG & PC (SEASONAL),Region 7,Nebraska,Transient non-community system,25,WATERLOO,Douglas,12,15,11
NE3121464,TWO RIVERS SRA-NG&PC (NON SEASONAL),Region 7,Nebraska,Transient non-community system,25,WATERLOO,Douglas,3,2,4
NE3150103,ENDERS RESERVOIR SRA-NG&PC,Region 7,Nebraska,Transient non-community system,25,WAUNETA,Chase,14,8,7
NE3120388,PAWNEE LAKE SRA - NG &PC,Region 7,Nebraska,Transient non-community system,200,LINCOLN,Lancaster,25,9,7
NE3120974,UNL CEDAR POINT BIOLOGICAL STATION,Region 7,Nebraska,Transient non-community system,49,OGALLALA,Keith,3,2,11
NE3150596,LAKE MINATARE SRA - NG & PC,Region 7,Nebraska,Transient non-community system,207,MINATARE,Scotts Bluff,21,28,15
NE3150368,FORT KEARNEY SRA - NG & PC (SEASONAL),Region 7,Nebraska,Transient non-community system,25,,Kearney,21,10,13
NE3120838,FORT KEARNEY SHP - NG & PC,Region 7,Nebraska,Transient non-community system,100,KEARNEY,Kearney,3,0,11
NE3121438,FORT KEARNEY SRA-NG&PC (NON SEASONAL),Region 7,Nebraska,Transient non-community system,25,,Kearney,4,0,7
NE3150058,UNION PACIFIC SRA - NG & PC,Region 7,Nebraska,Transient non-community system,30,KEARNEY,Buffalo,3,10,8
NE3150384,LEWIS & CLARK SRA - NG & PC,Region 7,Nebraska,Transient non-community system,25,BLOOMFIELD,Knox,20,6,15
NE3150153,FORT ROBINSON STATE PARK - NG & PC,Region 7,Nebraska,Transient non-community system,25,CRAWFORD,Dawes,7,20,20
