Water System Summary,,,,,,,,,,
Report Date: 04/30/2026 12:21:10,,,,,,,,,,
Report Filters: Submission Year is 2026 and Quarter is 1 and EPA Region in (06) and Primacy Agency in (TX) and Owner Type in (S) and Activity Status is A,,,,,,,,,,
,,,,,,,,,,
PWS ID,PWS Name,EPA Region Name,Primacy Agency,PWS Type,Population Served Count,Cities Served,Counties Served,# of Facilities,# of Violations,# of Site Visits
TX2400033,TXDOT TRAVEL INFORMATION CENTER,Region 6,Texas,Transient non-community system,300,,Webb,10,14,6
TX1200026,TEXANA PARK AND CAMPGROUND,Region 6,Texas,Transient non-community system,423,,Jackson,9,7,8
TX0030031,HHSC LUFKIN STATE SUPPORTED LIVING CENT,Region 6,Texas,Community water system,"1,356",,Angelina,14,26,9
TX1013142,MD ANDERSON CANCER CENTER KNIGHT RD,Region 6,Texas,Non-Transient non-community system,200,,Harris,12,21,7
TX0720056,TARLETON STATE UNIVERSITY SOUTHWEST REGI,Region 6,Texas,Non-Transient non-community system,105,,Erath,10,12,3
TX1470009,HHSC MEXIA STATE SUPPORTED LIVING CENTER,Region 6,Texas,Community water system,256,,Limestone,12,13,9
TX0080062,SAN FELIPE AUSTIN STATE HISTORIC MUSEUM,Region 6,Texas,Transient non-community system,25,,Austin,5,6,1
TX1010353,THC SAN JACINTO MONUMENT SHS,Region 6,Texas,Transient non-community system,900,,Harris,14,59,9
TX1220003,UT MCDONALD OBSERVATORY,Region 6,Texas,Community water system,163,,Jeff Davis,29,10,12
TX1860017,TXDOT PECOS COUNTY SRA - FORT STOCKTON,Region 6,Texas,Transient non-community system,200,,Pecos,23,26,7
TX1860027,TXDOT PECOS COUNTY SRA - SHEFFIELD,Region 6,Texas,Transient non-community system,200,,Pecos,11,14,7
TX1680007,TXDOT MITCHELL COUNTY SRA,Region 6,Texas,Transient non-community system,300,,Mitchell,10,20,7
TX2380022,TXDOT WARD COUNTY SRA,Region 6,Texas,Transient non-community system,300,,Ward,14,14,7
TX0450091,TXDOT COLORADO COUNTY SRA,Region 6,Texas,Transient non-community system,750,,Colorado,7,2,5
TX1310005,TXDOT KENEDY COUNTY SRA,Region 6,Texas,Transient non-community system,200,,Kenedy,4,12,13
TX1140026,TXDOT HOWARD COUNTY SRA,Region 6,Texas,Transient non-community system,300,,Howard,11,25,10
TX1330040,TXDOT KERR COUNTY SRA,Region 6,Texas,Transient non-community system,700,,Kerr,12,13,7
TX2350047,TXDOT VICTORIA COUNTY SRA,Region 6,Texas,Transient non-community system,"2,003",,Victoria,26,3,6
TX0550009,TXDOT CULBERSON COUNTY SRA - VAN HORN,Region 6,Texas,Transient non-community system,300,,Culberson,4,20,9
TX0550008,TXDOT CULBERSON COUNTY SRA- PINE SPRINGS,Region 6,Texas,Transient non-community system,200,,Culberson,10,28,7
TX0410012,TXDOT COKE COUNTY SRA,Region 6,Texas,Transient non-community system,100,,Coke,7,29,9
TX0950066,TXDOT HALE COUNTY SRA,Region 6,Texas,Transient non-community system,200,,Hale,17,21,11
TX0240004,TXDOT BROOKS COUNTY SRA,Region 6,Texas,Transient non-community system,950,,Brooks,6,10,9
TX0900043,TXDOT GRAY COUNTY SRA,Region 6,Texas,Transient non-community system,750,,Gray,8,19,8
TX0480017,TXDOT CONCHO COUNTY SRA,Region 6,Texas,Transient non-community system,50,,Concho,11,29,9
TX0860109,TXDOT GILLESPIE COUNTY SRA,Region 6,Texas,Transient non-community system,300,,Gillespie,8,16,6
TX1420015,TXDOT LA SALLE COUNTY SRA NB,Region 6,Texas,Transient non-community system,700,,La Salle,6,1,2
